Faculty;Programme;Programme Code;Qualification Type;Minimum APS;English Requirement;Mathematics Requirement;Physical Sciences Requirement;Life Sciences Requirement;Additional Subject Requirements;Duration (Years);Source Page;;
Science Engineering and Agriculture;BSc in Chemistry and Biochemistry;MNBBSL;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;21;;
Science Engineering and Agriculture;BSc in Chemistry;MNBBSN;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;21;;
Science Engineering and Agriculture;BSc in Botany and Zoology;MNBBSO;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;21;;
Science Engineering and Agriculture;BSc in Computer Science;MNBBSP;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;22;;
Science Engineering and Agriculture;BSc in Computer Science and Mathematics;MNBBSQ;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;22;;
Science Engineering and Agriculture;Bachelor of Environmental Sciences;ESBBES;Degree;32;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);Geography or Agricultural Sciences 50%;3;22;;
Science Engineering and Agriculture;Bachelor of Earth Sciences in Mining and Environmental Geology;ESBMEG;Degree;35;50% (adequate achievement);60% (level 5);60% (level 5);Not specified;Three of: Agricultural Sciences/Accounting/Life Sciences/Economics/Geography (adequate);4;22;;
Science Engineering and Agriculture;Bachelor of Earth Sciences in Hydrology and Water Resources;ESBHWR;Degree;35;60% (level 5);60% (level 5);60% (level 5);Not specified;Three of: Agricultural Sciences/Accounting/Life Sciences/Economics/Geography (adequate);4;23;;
Science Engineering and Agriculture;Bachelor of Urban and Regional Planning;ESBURP;Degree;35;60% (level 5);60% (level 5);60% (level 5);Not specified;Technical Drawing 60%;Geography 60%; three of: Agri Sciences/Accounting/Life Sciences/Economics (adequate);4;23
Science Engineering and Agriculture;Bachelor of Environmental Sciences in Disaster Risk Reduction;ESBBDR;Degree;35;50% (adequate achievement);60% (level 5);50% (adequate achievement);Not specified;Geography 60%;Life Sciences 60%;Economics 50%;4;23
Science Engineering and Agriculture;BSc in Agriculture (Agricultural Economics);AGBAAE;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% OR Agricultural Sciences 50%;;4;24;;
Science Engineering and Agriculture;BSc in Agriculture (Agribusiness Management);AGBAAM;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Agriculture (Animal Science);AGBAAS;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Agriculture (Horticultural Sciences);AGBAHS;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Agriculture (Plant Production);AGBAPP;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Soil Science;AGBASS;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Forestry;AGBBFR;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;4;25;;
Science Engineering and Agriculture;BSc in Agricultural and Biosystems Engineering;AGBABE;Degree;32;50% (adequate achievement);65%+ (level 5);65%+ (level 5);65%+ OR Agricultural Sciences 65%+;;4;25;;
Science Engineering and Agriculture;Diploma in Freshwater Technology;MNDDFT;Diploma;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;3;19;;
Science Engineering and Agriculture;Extended BSc in Biochemistry and Microbiology;MNEBSA;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required; for students not meeting standard BSc requirements;4;25;
Science Engineering and Agriculture;Extended BSc in Biochemistry and Biology;MNEBSD;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;25;;
Science Engineering and Agriculture;Extended BSc in Microbiology and Botany;MNEBSE;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;26;;
Science Engineering and Agriculture;Extended BSc in Mathematics and Applied Mathematics;MNEBSF;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;26;;
Science Engineering and Agriculture;Extended BSc in Mathematics and Physics;MNEBSH;Extended Degree;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;4;26;;
Science Engineering and Agriculture;Extended BSc in Mathematics and Statistics;MNEBSI;Extended Degree;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;4;26;;
Science Engineering and Agriculture;Extended BSc in Physics and Chemistry;MNEBSJ;Extended Degree;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;4;26;;
Science Engineering and Agriculture;Extended BSc in Chemistry and Mathematics;MNEBSK;Extended Degree;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;4;26;;
Science Engineering and Agriculture;Extended BSc in Chemistry and Biochemistry;MNEBSL;Extended Degree;24;40-49% (moderate);Not specified;Not specified;Not specified;50% in Life Sciences or Agricultural Sciences or Physical Sciences or Geography;4;26;;
Science Engineering and Agriculture;Extended BSc in Chemistry and Applied Chemistry;MNEBSN;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;26;;
Science Engineering and Agriculture;Extended BSc in Botany and Zoology;MNEBSO;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;26;;
Science Engineering and Agriculture;Extended BSc in Computer Science;MNEBSP;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;26;;
Science Engineering and Agriculture;Extended BSc in Computer Science and Mathematics;MNEBSQ;Extended Degree;26;40-49% (moderate);40-49% (moderate);40-49% (moderate);Not specified;Bachelor's pass required;4;27;;
