Programme;AS_Mathematics;AS_Technical_Mathematics;AS_Mathematical_Literacy;Subject_Requirements
BENGTECH (CIVIL ENGINEERING);370;370;–;Maths or Tech Maths: 60% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
DIP (ARCHITECTURAL TECHNOLOGY);330;330;345;Maths or Tech Maths: 45% | Math Lit: 60% | Portfolio and interview required
DIP (INTERIOR DESIGN);315;315;330;Maths or Tech Maths: 30% | Math Lit: 45% | Portfolio and interview required
ADVANCED DIPLOMA (ARCHITECTURAL DESIGN);–;–;–;Requires: Dip Architectural Technology with 65% in Architectural Design | Studio Work | Theory of Architecture | Construction and Detailing
ADVANCED DIPLOMA (ARCHITECTURAL TECHNOLOGY);–;–;–;Requires: Dip Architectural Technology with 60% average in Architectural Design III | Studio Work I-III | Construction and Detailing I-III
ADVANCED DIPLOMA (INTERIOR DESIGN);–;–;–;Requires: Dip Interior Design with 65% in Interior Design III | Design Technology III | Contemporary Developments III (min 60% in each module)
BACHELOR OF ARCHITECTURAL STUDIES (BAS);370;–;–;Maths: 55% | Portfolio and interview required | Math Lit: Not accepted
HCERT (HUMAN SETTLEMENT DEVELOPMENT);–;–;–;Must be employed at least 1 year in field of Human Settlement Development
DIP (BUILDING);330;330;–;Maths or Tech Maths: 45% | Math Lit: Not accepted | Admission subject to departmental selection
ADVANCED DIPLOMA (QUANTITY SURVEYING);–;–;–;Requires: Dip Building with 60% weighted average in final year and 60%+ in Quantity Surveying core module
ADVANCED DIPLOMA (CONSTRUCTION MANAGEMENT);–;–;–;Requires: Dip Building with 60% weighted average in final year and 60%+ in Construction Management core module
BSC (CONSTRUCTION ECONOMICS);370;–;–;Maths: 55% | Admission subject to departmental selection
BSC (CONSTRUCTION STUDIES);370;–;–;Maths: 55% | Admission subject to departmental selection
BHSD (HUMAN SETTLEMENT DEVELOPMENT);370;370;385;Maths or Tech Maths: 50% | Math Lit: 70%
HCERT: IT (USER SUPPORT SERVICES);290;290;305;Maths or Tech Maths: 35% | Math Lit: 55%
DIP: IT (SOFTWARE DEVELOPMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP: IT (COMMUNICATION NETWORKS);330;330;–;Maths or Tech Maths: 45% | Math Lit: Not accepted
DIP: IT (SUPPORT SERVICES);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
BACHELOR OF INFORMATION TECHNOLOGY (BIT);370;370;–;Maths or Tech Maths: 50% | Math Lit: Not accepted
ADVANCED DIPLOMA (INFORMATION TECHNOLOGY);–;–;–;Requires: NQF Level 6 Diploma in IT with 60%+ in final year major modules
BACHELOR OF ENVIRONMENTAL HEALTH;390;–;–;Maths: 50% | Life Sciences: 50% | Physical Sciences: 50% | Admission subject to departmental selection
BA (PSYCHOLOGY);350;365;365;Maths: 45% | Tech Maths or Math Lit: 65%
BSW (SOCIAL WORK);350;365;365;Maths: 40% | Tech Maths or Math Lit: 65% | Police clearance required in 2nd year | Registration with SACSSP required
BSC (DIETETICS);390;–;–;Maths: 60% | Physical Sciences: 60%
DIP (SPORT MANAGEMENT);330;345;345;Maths: 40% | Tech Maths or Math Lit: 60% | Active competitive sport participation required | Sport CV and club letter required
BHMS (HUMAN MOVEMENT SCIENCE);350;365;365;Maths: 45% | Tech Maths or Math Lit: 65% | Medical examination required
BHSC: BIOKINETICS;370;385;385;Maths: 50% | Tech Maths or Math Lit: 65% | Life Sciences: 50% | Medical fitness report required
BACHELOR OF NURSING – EXTENDED CURRICULUM;330;345;345;Maths: 35% | Tech Maths or Math Lit: 55% | Life Sciences: 50% | Physical Sciences: 40% | SANC registration required | Medical report required
